"ERROR"
Node pair counts:
  Cubix.Language.SuiMove.Modularized.BinaryExpression12 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCallExpression: 3
  Cubix.Language.SuiMove.Modularized.BinaryExpression12 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCastExpression: 5
  Cubix.Language.SuiMove.Modularized.BinaryExpression12 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionIdentifiedExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression12 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionIfExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression12 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionLambdaExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression12 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionLoopExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression12 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionMacroCallExpression: 33
  Cubix.Language.SuiMove.Modularized.BinaryExpression12 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionMatchExpression: 0
  Cubix.Language.SuiMove.Modularized.BinaryExpression12 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionQuantifierExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression12 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionReturnExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression12 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionUnaryExpression: 130
  Cubix.Language.SuiMove.Modularized.BinaryExpression12 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionVectorExpression: 0
  Cubix.Language.SuiMove.Modularized.BinaryExpression12 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionWhileExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression13 -> Cubix.Language.SuiMove.Modularized.AmpersandTok: 169
  Cubix.Language.SuiMove.Modularized.BinaryExpression13 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAbortExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression13 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAssignExpression: 0
  Cubix.Language.SuiMove.Modularized.BinaryExpression13 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionBinaryExpression: 39
  Cubix.Language.SuiMove.Modularized.BinaryExpression13 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCallExpression: 20
  Cubix.Language.SuiMove.Modularized.BinaryExpression13 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCastExpression: 11
  Cubix.Language.SuiMove.Modularized.BinaryExpression13 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionIdentifiedExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression13 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionIfExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression13 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionLambdaExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression13 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionLoopExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression13 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionMacroCallExpression: 6
  Cubix.Language.SuiMove.Modularized.BinaryExpression13 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionMatchExpression: 0
  Cubix.Language.SuiMove.Modularized.BinaryExpression13 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionQuantifierExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression13 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionReturnExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression13 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionUnaryExpression: 168
  Cubix.Language.SuiMove.Modularized.BinaryExpression13 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionVectorExpression: 0
  Cubix.Language.SuiMove.Modularized.BinaryExpression13 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionWhileExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression14 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAbortExpression: 1
  Cubix.Language.SuiMove.Modularized.BinaryExpression14 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionAssignExpression: 0
  Cubix.Language.SuiMove.Modularized.BinaryExpression14 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionBinaryExpression: 29
  Cubix.Language.SuiMove.Modularized.BinaryExpression14 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCallExpression: 18
  Cubix.Language.SuiMove.Modularized.BinaryExpression14 -> Cubix.Language.SuiMove.Modularized.HiddenExpressionCastExpression: 31
